dataset,cls,grup,n,oran,nn_maj,closer_maj,p_mean
Wine_Red,3,kabul,1022,0.511,0.4158512720156556,0.4158512720156556,0.6782916784286499
Wine_Red,3,red,978,0.489,0.5695296523517382,0.5695296523517382,0.30349814891815186
Wine_Red,4,kabul,664,0.332,0.2891566265060241,0.2891566265060241,0.7013863325119019
Wine_Red,4,red,1336,0.668,0.5830838323353293,0.5830838323353293,0.19875870645046234
Wine_Red,1,kabul,156,0.078,0.2564102564102564,0.2564102564102564,0.6359187960624695
Wine_Red,1,red,1844,0.922,0.5216919739696312,0.5216919739696312,0.12581844627857208
Wine_Red,5,kabul,97,0.0485,0.13402061855670103,0.13402061855670103,0.5776342153549194
Wine_Red,5,red,1903,0.9515,0.5512348922753547,0.5512348922753547,0.09373359382152557
Wine_Red,0,kabul,101,0.0505,0.31683168316831684,0.31683168316831684,0.5956045985221863
Wine_Red,0,red,1899,0.9495,0.5244865718799369,0.5244865718799369,0.09902041405439377
Wine_White,2,kabul,1015,0.5075,0.43349753694581283,0.43349753694581283,0.6833781599998474
Wine_White,2,red,985,0.4925,0.566497461928934,0.566497461928934,0.28209611773490906
Wine_White,4,kabul,594,0.297,0.3720538720538721,0.3720538720538721,0.6304632425308228
Wine_White,4,red,1406,0.703,0.5199146514935988,0.5199146514935988,0.2696257531642914
Wine_White,5,kabul,133,0.0665,0.18045112781954886,0.18045112781954886,0.6280325055122375
Wine_White,5,red,1867,0.9335,0.533476164970541,0.533476164970541,0.13678784668445587
Wine_White,1,kabul,220,0.11,0.24545454545454545,0.24545454545454545,0.6943749189376831
Wine_White,1,red,1780,0.89,0.551123595505618,0.551123595505618,0.13161902129650116
Wine_White,0,kabul,64,0.032,0.015625,0.015625,0.5812115669250488
Wine_White,0,red,1936,0.968,0.5340909090909091,0.5340909090909091,0.08207391947507858
Wine_White,6,kabul,14,0.007,0.0,0.0,0.5131264328956604
Wine_White,6,red,1986,0.993,0.5,0.5,0.06113181263208389
ecoli,1,kabul,1014,0.507,0.3234714003944773,0.3234714003944773,0.8487972617149353
ecoli,1,red,986,0.493,0.6561866125760649,0.6561866125760649,0.1903875172138214
us_crime,1,kabul,819,0.4095,0.34554334554334554,0.34554334554334554,0.7787883281707764
us_crime,1,red,1181,0.5905,0.6020321761219306,0.6020321761219306,0.1660117208957672
oil,1,kabul,447,0.2235,0.26174496644295303,0.26174496644295303,0.7374193668365479
oil,1,red,1553,0.7765,0.5692208628461043,0.5692208628461043,0.1047113910317421
car_eval_4,1,kabul,666,0.333,0.4624624624624625,0.4624624624624625,0.8057818412780762
car_eval_4,1,red,1334,0.667,0.49250374812593706,0.49250374812593706,0.07529547065496445
yeast_me2,1,kabul,590,0.295,0.29491525423728815,0.29491525423728815,0.7268437743186951
yeast_me2,1,red,1410,0.705,0.573049645390071,0.573049645390071,0.1662316471338272
ozone_level,1,kabul,432,0.216,0.26157407407407407,0.26157407407407407,0.7263010740280151
ozone_level,1,red,1568,0.784,0.5593112244897959,0.5593112244897959,0.13061276078224182
mammography,1,kabul,1011,0.5055,0.2413452027695351,0.2413452027695351,0.8574474453926086
mammography,1,red,989,0.4945,0.5915065722952477,0.5288169868554095,0.14384573698043823
abalone_19,1,kabul,53,0.0265,0.24528301886792453,0.24528301886792453,0.5898166298866272
abalone_19,1,red,1947,0.9735,0.536723163841808,0.536723163841808,0.07466516643762589
